Date,Value
2011-01-31,220.223
2011-02-28,221.309
2011-03-31,223.467
2011-04-30,224.906
2011-05-31,225.964
2011-06-30,225.722
2011-07-31,225.922
2011-08-31,226.545
2011-09-30,226.889
2011-10-31,226.421
2011-11-30,226.23
2011-12-31,225.672
2012-01-31,226.665
2012-02-29,227.663
2012-03-31,229.392
2012-04-30,230.085
2012-05-31,229.815
2012-06-30,229.478
2012-07-31,229.104
2012-08-31,230.379
2012-09-30,231.407
2012-10-31,231.317
2012-11-30,230.221
2012-12-31,229.601
2013-01-31,230.28
2013-02-28,232.166
2013-03-31,232.773
2013-04-30,232.531
2013-05-31,232.945
2013-06-30,233.504
2013-07-31,233.596
2013-08-31,233.877
2013-09-30,234.149
2013-10-31,233.546
2013-11-30,233.069
2013-12-31,233.049
2014-01-31,233.916
2014-02-28,234.781
2014-03-31,236.293
2014-04-30,237.072
2014-05-31,237.9
2014-06-30,238.343
2014-07-31,238.25
2014-08-31,237.852
2014-09-30,238.031
2014-10-31,237.433
2014-11-30,236.151
2014-12-31,234.812
