Date,Short Volume,Total Volume,ticker
2011-01-03,216032.0,449412.0,COST
2011-01-04,309960.0,573167.0,COST
2011-01-05,326039.0,563864.0,COST
2011-01-06,277173.0,412405.0,COST
2011-01-07,238270.0,384509.0,COST
2011-01-10,187843.0,276900.0,COST
2011-01-11,221129.0,304538.0,COST
2011-01-12,192155.0,262082.0,COST
2011-01-13,139737.0,218602.0,COST
2011-01-14,255550.0,313700.0,COST
2011-01-18,213342.0,265049.0,COST
2011-01-19,180796.0,248873.0,COST
2011-01-20,163714.0,302638.0,COST
2011-01-21,130231.0,216557.0,COST
2011-01-24,155995.0,246567.0,COST
2011-01-25,277567.0,393339.0,COST
2011-01-26,195787.0,266813.0,COST
2011-01-27,174875.0,301202.0,COST
2011-01-28,212425.0,335056.0,COST
2011-01-31,170393.0,270103.0,COST
2011-02-01,109061.0,255933.0,COST
2011-02-02,419102.0,629797.0,COST
2011-02-03,396280.0,535212.0,COST
2011-02-04,140064.0,211307.0,COST
2011-02-07,163796.0,230164.0,COST
2011-02-08,135080.0,225147.0,COST
2011-02-09,119118.0,210687.0,COST
2011-02-10,130002.0,241914.0,COST
2011-02-11,130890.0,276518.0,COST
2011-02-14,110649.0,175645.0,COST
2011-02-15,67558.0,145429.0,COST
2011-02-16,103082.0,185532.0,COST
2011-02-17,80686.0,159469.0,COST
2011-02-18,88960.0,164161.0,COST
2011-02-22,129789.0,242837.0,COST
2011-02-23,219245.0,383962.0,COST
2011-02-24,199486.0,296090.0,COST
2011-02-25,141845.0,217054.0,COST
2011-02-28,130042.0,214867.0,COST
2011-03-01,175573.0,349765.0,COST
2011-03-02,262756.0,485767.0,COST
2011-03-03,126697.0,229750.0,COST
2011-03-04,211170.0,331621.0,COST
2011-03-07,266386.0,376414.0,COST
2011-03-08,328448.0,453579.0,COST
2011-03-09,231148.0,312844.0,COST
2011-03-10,195269.0,326563.0,COST
2011-03-11,179312.0,386969.0,COST
2011-03-14,230510.0,331500.0,COST
2011-03-15,196958.0,352408.0,COST
2011-03-16,172260.0,449693.0,COST
2011-03-17,75110.0,179770.0,COST
2011-03-18,90900.0,207404.0,COST
2011-03-21,110880.0,197008.0,COST
2011-03-22,61252.0,100765.0,COST
2011-03-23,110715.0,163506.0,COST
2011-03-24,68291.0,140828.0,COST
2011-03-25,54143.0,116348.0,COST
2011-03-28,30051.0,84891.0,COST
2011-03-29,28136.0,67501.0,COST
2011-03-30,56501.0,121869.0,COST
2011-03-31,84137.0,132019.0,COST
2011-04-01,125808.0,193375.0,COST
2011-04-04,66625.0,97903.0,COST
2011-04-05,201645.0,303093.0,COST
2011-04-06,70309.0,122870.0,COST
2011-04-07,300346.0,409643.0,COST
2011-04-08,126309.0,198837.0,COST
2011-04-11,92658.0,216827.0,COST
2011-04-12,88255.0,167000.0,COST
2011-04-13,42378.0,104905.0,COST
2011-04-14,76713.0,141058.0,COST
2011-04-15,61078.0,114231.0,COST
2011-04-18,132198.0,171607.0,COST
2011-04-19,60294.0,119858.0,COST
2011-04-20,134425.0,199753.0,COST
2011-04-21,123644.0,158161.0,COST
2011-04-25,82910.0,140848.0,COST
2011-04-26,139482.0,230956.0,COST
2011-04-27,108911.0,230212.0,COST
2011-04-28,101258.0,191873.0,COST
2011-04-29,134903.0,250751.0,COST
2011-05-02,85720.0,166548.0,COST
2011-05-03,148343.0,263239.0,COST
2011-05-04,111760.0,207676.0,COST
2011-05-05,143706.0,398748.0,COST
2011-05-06,74485.0,219422.0,COST
2011-05-09,92431.0,161608.0,COST
2011-05-10,106148.0,170949.0,COST
2011-05-11,66847.0,125231.0,COST
2011-05-12,93958.0,190933.0,COST
2011-05-13,72069.0,127651.0,COST
2011-05-16,120296.0,225766.0,COST
2011-05-17,74423.0,117131.0,COST
2011-05-18,64579.0,102263.0,COST
2011-05-19,69397.0,101973.0,COST
2011-05-20,133610.0,189408.0,COST
2011-05-23,105033.0,186649.0,COST
2011-05-24,138293.0,245683.0,COST
2011-05-25,255156.0,443791.0,COST
2011-05-26,70455.0,162054.0,COST
2011-05-27,81011.0,125510.0,COST
2011-05-31,98864.0,147833.0,COST
2011-06-01,100273.0,229517.0,COST
2011-06-02,189493.0,306682.0,COST
2011-06-03,156384.0,318900.0,COST
2011-06-06,80864.0,182616.0,COST
2011-06-07,84679.0,175780.0,COST
2011-06-08,147313.0,230476.0,COST
2011-06-09,76106.0,122364.0,COST
2011-06-10,93914.0,145829.0,COST
2011-06-13,88123.0,134310.0,COST
2011-06-14,57415.0,95762.0,COST
2011-06-15,129962.0,204282.0,COST
2011-06-16,171199.0,272147.0,COST
2011-06-17,293699.0,437490.0,COST
2011-06-20,135947.0,224272.0,COST
2011-06-21,136900.0,301663.0,COST
2011-06-22,130888.0,261464.0,COST
2011-06-23,228290.0,480386.0,COST
2011-06-24,139153.0,272078.0,COST
2011-06-27,51502.0,118582.0,COST
2011-06-28,85188.0,203004.0,COST
2011-06-29,176395.0,419022.0,COST
2011-06-30,143667.0,331320.0,COST
2011-07-01,73525.0,224043.0,COST
2011-07-05,83644.0,181068.0,COST
2011-07-06,108176.0,218645.0,COST
2011-07-07,127636.0,273985.0,COST
2011-07-08,82487.0,181087.0,COST
2011-07-11,31933.0,132944.0,COST
2011-07-12,94742.0,232836.0,COST
2011-07-13,67113.0,143385.0,COST
2011-07-14,113407.0,200590.0,COST
2011-07-15,145601.0,276533.0,COST
2011-07-18,71971.0,137535.0,COST
2011-07-19,75601.0,165331.0,COST
2011-07-20,113460.0,212679.0,COST
2011-07-21,105576.0,247931.0,COST
2011-07-22,51320.0,133265.0,COST
2011-07-25,126184.0,218463.0,COST
2011-07-26,58885.0,178329.0,COST
2011-07-27,125320.0,296593.0,COST
2011-07-28,96116.0,401299.0,COST
2011-07-29,160265.0,327659.0,COST
2011-08-01,230926.0,449405.0,COST
2011-08-02,272917.0,618096.0,COST
2011-08-03,330687.0,668342.0,COST
2011-08-04,556970.0,1026493.0,COST
2011-08-05,182700.0,438358.0,COST
2011-08-08,790825.0,2054064.0,COST
2011-08-09,226818.0,653279.0,COST
2011-08-10,311255.0,669745.0,COST
2011-08-11,276594.0,512777.0,COST
2011-08-12,286554.0,424442.0,COST
2011-08-15,186588.0,274585.0,COST
2011-08-16,233457.0,357685.0,COST
2011-08-17,366419.0,564850.0,COST
2011-08-18,371465.0,664126.0,COST
2011-08-19,271894.0,389737.0,COST
2011-08-22,258483.0,427792.0,COST
2011-08-23,314737.0,602428.0,COST
2011-08-24,205180.0,317275.0,COST
2011-08-25,169981.0,262962.0,COST
2011-08-26,163130.0,295772.0,COST
2011-08-29,155277.0,371490.0,COST
2011-08-30,142370.0,216613.0,COST
2011-08-31,166755.0,303894.0,COST
2011-09-01,288846.0,432748.0,COST
2011-09-02,265995.0,385445.0,COST
2011-09-06,161559.0,219963.0,COST
2011-09-07,143728.0,185044.0,COST
2011-09-08,183402.0,260943.0,COST
2011-09-09,150988.0,213440.0,COST
2011-09-12,141649.0,195220.0,COST
2011-09-13,196200.0,292253.0,COST
2011-09-14,168613.0,284042.0,COST
2011-09-15,133433.0,231914.0,COST
2011-09-16,176562.0,268046.0,COST
2011-09-19,179065.0,245008.0,COST
2011-09-20,172722.0,277455.0,COST
2011-09-21,204473.0,296646.0,COST
2011-09-22,400341.0,617533.0,COST
2011-09-23,119207.0,233694.0,COST
2011-09-26,164295.0,348482.0,COST
2011-09-27,109755.0,282258.0,COST
2011-09-28,109317.0,217893.0,COST
2011-09-29,165466.0,268358.0,COST
2011-09-30,162253.0,321226.0,COST
2011-10-03,170529.0,344394.0,COST
2011-10-04,184203.0,457680.0,COST
2011-10-05,250321.0,584540.0,COST
2011-10-06,184931.0,492204.0,COST
2011-10-07,119513.0,336313.0,COST
2011-10-10,125452.0,240824.0,COST
2011-10-11,86882.0,189307.0,COST
2011-10-12,109825.0,300861.0,COST
2011-10-13,92896.0,232748.0,COST
2011-10-14,73482.0,194586.0,COST
2011-10-17,109226.0,227951.0,COST
2011-10-18,186347.0,329409.0,COST
2011-10-19,123431.0,251716.0,COST
2011-10-20,81312.0,257116.0,COST
2011-10-21,102684.0,209927.0,COST
2011-10-24,94854.0,252772.0,COST
2011-10-25,95525.0,196274.0,COST
2011-10-26,87131.0,198681.0,COST
2011-10-27,145464.0,345358.0,COST
2011-10-28,97758.0,170600.0,COST
2011-10-31,120498.0,264016.0,COST
2011-11-01,183485.0,329880.0,COST
2011-11-02,196076.0,296211.0,COST
2011-11-03,174011.0,300478.0,COST
2011-11-04,123623.0,254945.0,COST
2011-11-07,74460.0,201878.0,COST
2011-11-08,117706.0,214918.0,COST
2011-11-09,173529.0,305581.0,COST
2011-11-10,115696.0,208103.0,COST
2011-11-11,105889.0,215446.0,COST
2011-11-14,61545.0,139420.0,COST
2011-11-15,80291.0,193581.0,COST
2011-11-16,93215.0,240057.0,COST
2011-11-17,92291.0,237815.0,COST
2011-11-18,49533.0,160255.0,COST
2011-11-21,119515.0,237013.0,COST
2011-11-22,95274.0,175915.0,COST
2011-11-23,74748.0,193166.0,COST
2011-11-25,26839.0,65759.0,COST
2011-11-28,92831.0,227079.0,COST
2011-11-29,90238.0,215110.0,COST
2011-11-30,196877.0,436837.0,COST
2011-12-01,284901.0,449305.0,COST
2011-12-02,194926.0,304641.0,COST
2011-12-05,115534.0,221889.0,COST
2011-12-06,135928.0,219234.0,COST
2011-12-07,170157.0,307449.0,COST
2011-12-08,292490.0,462666.0,COST
2011-12-09,261583.0,444909.0,COST
2011-12-12,105031.0,266370.0,COST
2011-12-13,84606.0,186030.0,COST
2011-12-14,80087.0,176460.0,COST
2011-12-15,67622.0,185448.0,COST
2011-12-16,75123.0,201935.0,COST
2011-12-19,92119.0,249063.0,COST
2011-12-20,132693.0,344816.0,COST
2011-12-21,126681.0,289557.0,COST
2011-12-22,66148.0,154919.0,COST
2011-12-23,46760.0,107680.0,COST
2011-12-27,56209.0,115154.0,COST
2011-12-28,56625.0,94485.0,COST
2011-12-29,39262.0,100823.0,COST
2011-12-30,69078.0,118435.0,COST
2012-01-03,117673.0,249583.0,COST
2012-01-04,105526.0,198561.0,COST
2012-01-05,169273.0,345654.0,COST
2012-01-06,293048.0,406656.0,COST
2012-01-09,272749.0,501598.0,COST
2012-01-10,138886.0,561799.0,COST
2012-01-11,168229.0,340630.0,COST
2012-01-12,180264.0,358732.0,COST
2012-01-13,202543.0,343667.0,COST
2012-01-17,182740.0,389714.0,COST
2012-01-18,174279.0,303981.0,COST
2012-01-19,126526.0,232202.0,COST
2012-01-20,97194.0,218568.0,COST
2012-01-23,100282.0,203898.0,COST
2012-01-24,84857.0,199520.0,COST
2012-01-25,191451.0,354354.0,COST
2012-01-26,91389.0,199437.0,COST
2012-01-27,120159.0,402248.0,COST
2012-01-30,146548.0,285748.0,COST
2012-01-31,170666.0,284537.0,COST
2012-02-01,293062.0,512806.0,COST
2012-02-02,447463.0,812482.0,COST
2012-02-03,136861.0,296003.0,COST
2012-02-06,93791.0,171037.0,COST
2012-02-07,96326.0,191822.0,COST
2012-02-08,120780.0,217982.0,COST
2012-02-09,98676.0,199858.0,COST
2012-02-10,102448.0,239754.0,COST
2012-02-13,94821.0,201584.0,COST
2012-02-14,95661.0,197385.0,COST
2012-02-15,129829.0,226158.0,COST
2012-02-16,89723.0,230524.0,COST
2012-02-17,107452.0,212892.0,COST
2012-02-21,167621.0,319363.0,COST
2012-02-22,151239.0,262426.0,COST
2012-02-23,191066.0,299137.0,COST
2012-02-24,78226.0,204261.0,COST
2012-02-27,243146.0,424300.0,COST
2012-02-28,185983.0,358671.0,COST
2012-02-29,347501.0,595087.0,COST
2012-03-01,251319.0,421029.0,COST
2012-03-02,189235.0,284144.0,COST
2012-03-05,249842.0,369366.0,COST
2012-03-06,287308.0,454480.0,COST
2012-03-07,192369.0,276635.0,COST
2012-03-08,95045.0,173821.0,COST
2012-03-09,121126.0,191638.0,COST
2012-03-12,118860.0,197034.0,COST
2012-03-13,124934.0,212297.0,COST
2012-03-14,198230.0,295842.0,COST
2012-03-15,150193.0,236317.0,COST
2012-03-16,151392.0,291327.0,COST
2012-03-19,153494.0,256730.0,COST
2012-03-20,144081.0,266512.0,COST
2012-03-21,122764.0,257889.0,COST
2012-03-22,173738.0,313982.0,COST
2012-03-23,137474.0,246903.0,COST
2012-03-26,110305.0,253302.0,COST
2012-03-27,112096.0,192002.0,COST
2012-03-28,129512.0,191373.0,COST
2012-03-29,142794.0,263888.0,COST
2012-03-30,178657.0,277436.0,COST
2012-04-02,192946.0,321353.0,COST
2012-04-03,223403.0,422333.0,COST
2012-04-04,159113.0,361973.0,COST
2012-04-05,133608.0,345896.0,COST
2012-04-09,155770.0,269114.0,COST
2012-04-10,228907.0,435541.0,COST
2012-04-11,166849.0,283123.0,COST
2012-04-12,112338.0,300043.0,COST
2012-04-13,154349.0,380121.0,COST
2012-04-16,87726.0,335712.0,COST
2012-04-17,75534.0,219612.0,COST
2012-04-18,141795.0,257961.0,COST
2012-04-19,188670.0,362083.0,COST
2012-04-20,197754.0,318386.0,COST
2012-04-23,183145.0,345805.0,COST
2012-04-24,124436.0,295719.0,COST
2012-04-25,139235.0,330398.0,COST
2012-04-26,249420.0,427883.0,COST
2012-04-27,91410.0,186154.0,COST
2012-04-30,82849.0,177829.0,COST
2012-05-01,133490.0,367285.0,COST
2012-05-02,85448.0,279814.0,COST
2012-05-03,206655.0,554744.0,COST
2012-05-04,109101.0,284690.0,COST
2012-05-07,78222.0,201112.0,COST
2012-05-08,91624.0,235439.0,COST
2012-05-09,62972.0,188101.0,COST
2012-05-10,92936.0,210552.0,COST
2012-05-11,114336.0,255646.0,COST
2012-05-14,95306.0,161220.0,COST
2012-05-15,93709.0,179979.0,COST
2012-05-16,123093.0,255792.0,COST
2012-05-17,155650.0,246095.0,COST
2012-05-18,117201.0,256054.0,COST
2012-05-21,82572.0,152233.0,COST
