Date,Short Volume,Total Volume,ticker
2011-01-03,26429.0,101493.0,MA
2011-01-04,24547.0,66430.0,MA
2011-01-05,172078.0,323088.0,MA
2011-01-06,140962.0,302113.0,MA
2011-01-07,73486.0,197340.0,MA
2011-01-10,33700.0,89670.0,MA
2011-01-11,23618.0,61285.0,MA
2011-01-12,21117.0,40855.0,MA
2011-01-13,19362.0,36393.0,MA
2011-01-14,40577.0,70509.0,MA
2011-01-18,19861.0,40656.0,MA
2011-01-19,26093.0,58687.0,MA
2011-01-20,61463.0,174392.0,MA
2011-01-21,23666.0,48429.0,MA
2011-01-24,20453.0,43046.0,MA
2011-01-25,29433.0,68519.0,MA
2011-01-26,29432.0,53638.0,MA
2011-01-27,15206.0,32758.0,MA
2011-01-28,19906.0,42695.0,MA
2011-01-31,11295.0,38186.0,MA
2011-02-01,21657.0,64100.0,MA
2011-02-02,22977.0,67865.0,MA
2011-02-03,28620.0,103116.0,MA
2011-02-04,16836.0,58075.0,MA
2011-02-07,18290.0,35839.0,MA
2011-02-08,19474.0,40821.0,MA
2011-02-09,14204.0,36108.0,MA
2011-02-10,21428.0,51429.0,MA
2011-02-11,23628.0,40703.0,MA
2011-02-14,31790.0,74629.0,MA
2011-02-15,33426.0,59322.0,MA
2011-02-16,26269.0,59974.0,MA
2011-02-17,32520.0,99466.0,MA
2011-02-18,17965.0,74759.0,MA
2011-02-22,19780.0,47497.0,MA
2011-02-23,20405.0,43285.0,MA
2011-02-24,31952.0,69596.0,MA
2011-02-25,21346.0,60657.0,MA
2011-02-28,22555.0,86163.0,MA
2011-03-01,38106.0,130522.0,MA
2011-03-02,24287.0,53449.0,MA
2011-03-03,30824.0,102822.0,MA
2011-03-04,24547.0,73205.0,MA
2011-03-07,25511.0,72627.0,MA
2011-03-08,16332.0,49020.0,MA
2011-03-09,18870.0,43025.0,MA
2011-03-10,29920.0,62377.0,MA
2011-03-11,17046.0,36363.0,MA
2011-03-14,31722.0,64926.0,MA
2011-03-15,23837.0,69403.0,MA
2011-03-16,34232.0,59207.0,MA
2011-03-17,14482.0,42082.0,MA
2011-03-18,18458.0,66490.0,MA
2011-03-21,18620.0,38671.0,MA
2011-03-22,26784.0,91564.0,MA
2011-03-23,10971.0,37936.0,MA
2011-03-24,23981.0,50581.0,MA
2011-03-25,10805.0,49180.0,MA
2011-03-28,28392.0,62798.0,MA
