None,ticker,date,open,high,low,close,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
0,AAPL,2014-12-31,112.82,113.13,110.21,110.38,0.0,1.0,107.17947183628,107.47397313277,104.69996092073,104.8614616317,41403351.0
1,AAPL,2014-12-30,113.64,113.92,112.11,112.52,0.0,1.0,107.95847526569,108.22447643671,106.50496886692,106.89447058162,29881477.0
2,AAPL,2014-12-29,113.79,114.77,113.7,113.91,0.0,1.0,108.10097589302,109.03197999158,108.01547551662,108.21497639488,27598920.0
3,AAPL,2014-12-26,112.1,114.52,112.01,113.99,0.0,1.0,106.4954688251,108.79447894603,106.4099684487,108.29097672946,33720951.0
4,AAPL,2014-12-24,112.58,112.71,112.01,112.01,0.0,1.0,106.95147083255,107.07497137624,106.4099684487,106.4099684487,14479611.0
5,AAPL,2014-12-23,113.23,113.33,112.46,112.54,0.0,1.0,107.56897355099,107.66397396921,106.83747033069,106.91347066526,26028419.0
6,AAPL,2014-12-22,112.16,113.49,111.97,112.94,0.0,1.0,106.55246907603,107.81597463836,106.37196828141,107.29347233815,45167549.0
7,AAPL,2014-12-19,112.26,113.24,111.66,111.78,0.0,1.0,106.64746949425,107.57847359281,106.07746698493,106.19146748679,88429770.0
8,AAPL,2014-12-18,111.87,112.65,110.66,112.65,0.0,1.0,106.27696786319,107.01797112531,105.12746280272,107.01797112531,59006218.0
9,AAPL,2014-12-17,107.12,109.84,106.82,109.41,0.0,1.0,101.76444799772,104.34845937331,101.47944674306,103.93995757497,53411773.0
10,AAPL,2014-12-16,106.37,110.16,106.26,106.745,0.0,1.0,101.05194486106,104.65246071162,100.94744440102,101.40819642939,60790733.0
11,AAPL,2014-12-15,110.7,111.6,106.35,108.225,0.0,1.0,105.16546297001,106.02046673399,101.03294477742,102.81420261905,67218082.0
12,AAPL,2014-12-12,110.46,111.87,109.58,109.73,0.0,1.0,104.93746196628,106.27696786319,104.10145828594,104.24395891327,56028138.0
13,AAPL,2014-12-11,112.26,113.8,111.34,111.62,0.0,1.0,106.64746949425,108.11047593484,105.77346564662,106.03946681764,41471578.0
14,AAPL,2014-12-10,114.41,114.85,111.54,111.95,0.0,1.0,108.68997848599,109.10798032616,105.96346648306,106.35296819776,44565318.0
15,AAPL,2014-12-09,110.19,114.3,109.35,114.12,0.0,1.0,104.68096083708,108.58547802594,103.88295732403,108.41447727315,60208036.0
16,AAPL,2014-12-08,114.1,114.648,111.62,112.4,0.0,1.0,108.3954771895,108.91607948135,106.03946681764,106.78047007976,57664850.0
17,AAPL,2014-12-05,115.99,116.08,114.64,115.0,0.0,1.0,110.19098509387,110.27648547027,108.90847944789,109.25048095349,38318895.0
18,AAPL,2014-12-04,115.77,117.2,115.29,115.49,0.0,1.0,109.98198417378,111.34049015434,109.52598216633,109.71598300277,42155776.0
19,AAPL,2014-12-03,115.75,116.35,115.11,115.93,0.0,1.0,109.96298409014,110.53298659946,109.35498141353,110.13398484294,43063440.0
20,AAPL,2014-12-02,113.5,115.75,112.75,114.63,0.0,1.0,107.82547468018,109.96298409014,107.11297154353,108.89897940607,59348940.0
21,AAPL,2014-12-01,118.81,119.25,111.27,115.07,0.0,1.0,112.86999688769,113.28799872786,105.70696535387,109.31698124624,83814037.0
22,AAPL,2014-11-28,119.27,119.4,118.05,118.93,0.0,1.0,113.3069988115,113.43049935519,112.14799370921,112.98399738955,24814402.0
23,AAPL,2014-11-26,117.94,119.1,117.83,119.0,0.0,1.0,112.04349324917,113.14549810052,111.93899278913,113.0504976823,40831886.0
24,AAPL,2014-11-25,119.07,119.75,117.45,117.6,0.0,1.0,113.11699797506,113.76300081896,111.57799119989,111.72049182722,68840440.0
25,AAPL,2014-11-24,116.85,118.77,116.62,118.625,0.0,1.0,111.00798869057,112.8319967204,110.78948772866,112.69424611398,47450824.0
26,AAPL,2014-11-21,117.51,117.57,116.03,116.47,0.0,1.0,111.63499145082,111.69199170175,110.22898526116,110.64698710133,57179298.0
27,AAPL,2014-11-20,114.91,116.86,114.85,116.31,0.0,1.0,109.16498057709,111.01748873239,109.10798032616,110.49498643217,43395537.0
28,AAPL,2014-11-19,115.44,115.74,113.8,114.67,0.0,1.0,109.66848279366,109.95348404832,108.11047593484,108.93697957336,41869160.0
29,AAPL,2014-11-18,113.94,115.69,113.89,115.47,0.0,1.0,108.24347652035,109.90598383921,108.19597631124,109.69698291912,44223978.0
30,AAPL,2014-11-17,114.27,117.28,113.3,113.99,0.0,1.0,108.55697790048,111.41649048891,107.63547384374,108.29097672946,46746712.0
31,AAPL,2014-11-14,113.15,114.19,113.05,114.18,0.0,1.0,107.49297321641,108.4809775659,107.39797279819,108.47147752408,44063595.0
32,AAPL,2014-11-13,111.8,113.45,111.6,112.82,0.0,1.0,106.21046757043,107.77797447107,106.02046673399,107.17947183628,59522855.0
33,AAPL,2014-11-12,109.38,111.43,109.37,111.25,0.0,1.0,103.9114574495,105.85896602302,103.90195740768,105.68796527022,46942431.0
34,AAPL,2014-11-11,108.7,109.75,108.4,109.7,0.0,1.0,103.2654546056,104.26295899692,102.98045335094,104.2154587878,27442252.0
35,AAPL,2014-11-10,109.02,109.33,108.67,108.83,0.0,1.0,103.56945594391,103.86395724039,103.23695448013,103.38895514929,27195547.0
36,AAPL,2014-11-07,108.75,109.32,108.55,109.01,0.0,1.0,103.31295481471,103.85445719857,103.12295397827,103.55995590208,33691535.0
37,AAPL,2014-11-06,108.6,108.79,107.8,108.7,0.47,1.0,103.17045418738,103.350954982,102.41045084162,103.2654546056,34968457.0
38,AAPL,2014-11-05,109.1,109.3,108.125,108.86,0.0,1.0,103.19924061071,103.38842345326,102.27697425328,102.97222119965,37435905.0
39,AAPL,2014-11-04,109.36,109.49,107.72,108.6,0.0,1.0,103.44517830602,103.56814715368,101.89387899712,102.72628350433,41574365.0
40,AAPL,2014-11-03,108.22,110.3,108.01,109.4,0.0,1.0,102.36683610349,104.334337666,102.16819411881,103.48301487453,52282550.0
41,AAPL,2014-10-31,108.01,108.04,107.21,108.0,0.0,1.0,102.16819411881,102.1965715452,101.41146274862,102.15873497669,44639285.0
42,AAPL,2014-10-30,106.959,107.35,105.9,106.98,0.0,1.0,101.17403828122,101.5438907384,100.17231512992,101.19390247968,40654793.0
43,AAPL,2014-10-29,106.65,107.37,106.36,107.34,0.0,1.0,100.88175078948,101.56280902266,100.60743566778,101.53443159627,52687879.0
44,AAPL,2014-10-28,105.4,106.74,105.35,106.74,0.0,1.0,99.699358023544,100.96688306863,99.652062312907,100.96688306863,48060949.0
45,AAPL,2014-10-27,104.85,105.48,104.7,105.11,0.0,1.0,99.179105206533,99.775031160564,99.037218074621,99.425042901847,34187701.0
46,AAPL,2014-10-24,105.18,105.49,104.53,105.22,0.0,1.0,99.49125689674,99.784490302691,98.876412658454,99.52909346525,47053916.0
47,AAPL,2014-10-23,104.08,105.051,103.63,104.83,0.0,1.0,98.450751262718,99.369233963295,98.025089866982,99.160186922278,71074674.0
48,AAPL,2014-10-22,102.84,104.11,102.6,102.99,0.0,1.0,97.277817638911,98.4791286891,97.050798227852,97.419704770824,68263146.0
49,AAPL,2014-10-21,103.02,103.02,101.27,102.47,0.0,1.0,97.448082197206,97.448082197206,95.792732324899,96.927829380195,94623904.0
50,AAPL,2014-10-20,98.315,99.96,98.22,99.76,0.0,1.0,92.997555826231,94.5535847062,92.90769397602,94.36440186365,77517279.0
51,AAPL,2014-10-17,97.5,99.0,96.81,97.67,0.0,1.0,92.226635742842,93.645507061963,91.573954936046,92.387441159009,68179688.0
52,AAPL,2014-10-16,95.55,97.72,95.41,96.26,0.0,1.0,90.382103027985,92.434736869646,90.249675038201,91.053702119036,72154523.0
53,AAPL,2014-10-15,97.97,99.15,95.18,97.54,0.0,1.0,92.671215422833,93.787394193875,90.032114769269,92.264472311352,100933600.0
54,AAPL,2014-10-14,100.39,100.52,98.57,98.75,0.0,1.0,94.960327817681,95.083296665338,93.238763950481,93.409028508776,63688562.0
55,AAPL,2014-10-13,101.33,101.78,99.81,99.81,0.0,1.0,95.849487177663,96.2751485734,94.411697574288,94.411697574288,53583368.0
56,AAPL,2014-10-10,100.69,102.03,100.3,100.73,0.0,1.0,95.244102081505,96.511627126586,94.875195538534,95.281938650015,66331592.0
57,AAPL,2014-10-09,101.54,102.38,100.61,101.02,0.0,1.0,96.04812916234,96.842697101048,95.168428944485,95.556253771712,77376525.0
58,AAPL,2014-10-08,98.76,101.11,98.31,100.8,0.0,1.0,93.418487650903,95.641386050859,92.992826255167,95.348152644907,57404674.0
59,AAPL,2014-10-07,99.43,100.12,98.73,98.75,0.0,1.0,94.052250173444,94.704930980239,93.390110224521,93.409028508776,42094183.0
60,AAPL,2014-10-06,99.95,100.65,99.42,99.62,0.0,1.0,94.544125564072,95.206265512995,94.042791031316,94.231973873866,37051182.0
61,AAPL,2014-10-03,99.44,100.21,99.04,99.62,0.0,1.0,94.061709315571,94.790063259387,93.683343630473,94.231973873866,43469585.0
62,AAPL,2014-10-02,99.27,100.22,98.04,99.9,0.0,1.0,93.900903899404,94.799522401514,92.737429417725,94.496829853435,47757828.0
63,AAPL,2014-10-01,100.59,100.69,98.7,99.18,0.0,1.0,95.149510660231,95.244102081505,93.361732798139,93.815771620257,51491286.0
64,AAPL,2014-09-30,100.81,101.54,100.53,100.75,0.0,1.0,95.357611787035,96.04812916234,95.092755807466,95.30085693427,55264139.0
65,AAPL,2014-09-29,98.65,100.435,98.63,100.11,0.0,1.0,93.314437087501,95.002893957255,93.295518803246,94.695471838112,49766312.0
