None,ticker,date,open,high,low,close,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
0,COST,2014-12-31,143.49,144.13,141.69,141.75,0.0,1.0,134.65557430013,135.25617063125,132.96639711886,133.0227030249,1485064.0
1,COST,2014-12-30,143.0,144.09,143.0,143.49,0.0,1.0,134.19574273412,135.21863336055,134.19574273412,134.65557430013,1158803.0
2,COST,2014-12-29,143.35,143.85,142.74,143.34,0.0,1.0,134.5241938527,134.99340973638,133.9517504746,134.51480953502,1364395.0
3,COST,2014-12-26,143.61,143.87,143.08,143.44,0.0,1.0,134.76818611221,135.01217837173,134.27081727551,134.60865271176,1233068.0
4,COST,2014-12-24,144.56,144.865,143.6,143.65,0.0,1.0,135.65969629122,135.94591798027,134.75880179454,134.80572338291,738668.0
5,COST,2014-12-23,144.53,144.97,143.67,144.15,0.0,1.0,135.6315433382,136.04445331584,134.82449201826,135.2749392666,1464516.0
6,COST,2014-12-22,142.34,143.27,141.85,143.21,0.0,1.0,133.57637776765,134.44911931131,133.11654620164,134.39281340527,1776902.0
7,COST,2014-12-19,141.5,142.5,141.33,141.77,0.0,1.0,132.78809508306,133.72652685043,132.62856168261,133.04147166025,4029974.0
8,COST,2014-12-18,140.18,141.56,139.29,141.56,0.0,1.0,131.54936515013,132.8444009891,130.71416087717,132.8444009891,2903401.0
9,COST,2014-12-17,137.31,139.62,136.78,139.33,0.0,1.0,128.85606597777,131.0238433604,128.35869714107,130.75169814786,2428540.0
10,COST,2014-12-16,138.53,139.3,136.55,137.31,0.0,1.0,130.00095273397,130.72354519484,128.14285783457,128.85606597777,2470072.0
11,COST,2014-12-15,138.65,139.5,137.06,138.19,0.0,1.0,130.11356454605,130.91123154832,128.62145803593,129.68188593306,2456713.0
12,COST,2014-12-12,139.99,141.36,137.83,137.88,0.0,1.0,131.37106311433,132.65671463563,129.34405049681,129.39097208518,3672019.0
13,COST,2014-12-11,141.09,142.68,140.67,141.41,0.0,1.0,132.40333805844,133.89544456856,132.00919671614,132.703636224,2401295.0
14,COST,2014-12-10,144.94,146.82,139.4,140.25,0.0,1.0,136.01630036282,137.78055208548,130.81738837158,131.61505537385,4919143.0
15,COST,2014-12-09,142.13,143.13,140.88,143.04,0.0,1.0,133.37930709651,134.31773886388,132.20626738729,134.23328000481,2094901.0
16,COST,2014-12-08,143.05,143.05,141.95,142.33,0.0,1.0,134.24266432249,134.24266432249,133.21038937838,133.56699344998,1946175.0
17,COST,2014-12-05,143.18,143.31,141.961,143.25,0.0,1.0,134.36466045225,134.486656582,133.22071212782,134.43035067596,1198018.0
18,COST,2014-12-04,143.49,143.49,142.02,143.02,0.0,1.0,134.65557430013,134.65557430013,133.27607960209,134.21451136947,1324093.0
19,COST,2014-12-03,142.98,143.3,141.98,142.69,0.0,1.0,134.17697409877,134.47727226433,133.2385423314,133.90482888623,1795877.0
20,COST,2014-12-02,142.43,143.349,141.76,143.06,0.0,1.0,133.66083662672,134.52325542093,133.03208734258,134.25204864016,1765406.0
