seqNo,ticker,txDate,shortVol,totVol
1,AAPL,2011-01-03,692934,1368933
2,AAPL,2011-01-04,366458,686528
3,AAPL,2011-01-05,261734,480529
4,AAPL,2011-01-06,193157,451017
5,AAPL,2011-01-07,234808,474048
6,AAPL,2011-01-10,353555,747770
7,AAPL,2011-01-11,369642,694707
8,AAPL,2011-01-12,313527,639754
9,AAPL,2011-01-13,316351,557952
10,AAPL,2011-01-14,271070,552022
11,AAPL,2011-01-18,1126109,2854475
12,AAPL,2011-01-19,842651,1633849
13,AAPL,2011-01-20,397687,1339381
14,AAPL,2011-01-21,608026,1484904
15,AAPL,2011-01-24,412577,1086284
16,AAPL,2011-01-25,381072,978923
17,AAPL,2011-01-26,429198,829340
18,AAPL,2011-01-27,256491,533724
19,AAPL,2011-01-28,471624,1150999
20,AAPL,2011-01-31,275975,682236
21,AAPL,2011-02-01,344681,776642
22,AAPL,2011-02-02,212807,785510
23,AAPL,2011-02-03,304737,653521
24,AAPL,2011-02-04,271827,556231
25,AAPL,2011-02-07,317488,723808
26,AAPL,2011-02-08,347576,665678
27,AAPL,2011-02-09,445291,926954
28,AAPL,2011-02-10,841354,2003591
29,AAPL,2011-02-11,422992,850683
30,AAPL,2011-02-14,334614,590562
31,AAPL,2011-02-15,243005,497048
32,AAPL,2011-02-16,541840,1077225
33,AAPL,2011-02-17,595474,1219498
34,AAPL,2011-02-18,763548,1613949
35,AAPL,2011-02-22,576493,1413200
36,AAPL,2011-02-23,523256,1214263
37,AAPL,2011-02-24,444672,843368
38,AAPL,2011-02-25,272613,627546
39,AAPL,2011-02-28,179844,547535
40,AAPL,2011-03-01,284018,715408
41,AAPL,2011-03-02,370382,795874
42,AAPL,2011-03-03,323372,740281
43,AAPL,2011-03-04,221973,599098
44,AAPL,2011-03-07,314890,755358
45,AAPL,2011-03-08,291450,581073
46,AAPL,2011-03-09,403350,887391
47,AAPL,2011-03-10,402465,941610
48,AAPL,2011-03-11,330308,678217
49,AAPL,2011-03-14,405733,777370
50,AAPL,2011-03-15,380710,1139497
51,AAPL,2011-03-16,603107,2018179
52,AAPL,2011-03-17,450912,1125924
53,AAPL,2011-03-18,444191,1150702
54,AAPL,2011-03-21,267581,587584
55,AAPL,2011-03-22,198415,525839
56,AAPL,2011-03-23,329940,658413
57,AAPL,2011-03-24,393205,776366
58,AAPL,2011-03-25,369526,730707
59,AAPL,2011-03-28,245233,464047
60,AAPL,2011-03-29,242632,590833
61,AAPL,2011-03-30,286160,664206
62,AAPL,2011-03-31,264847,590314
63,AAPL,2011-04-01,317549,855170
64,AAPL,2011-04-04,249869,953169
65,AAPL,2011-04-05,274221,858126
66,AAPL,2011-04-06,246141,731223
67,AAPL,2011-04-07,205516,664742
68,AAPL,2011-04-08,261522,720969
69,AAPL,2011-04-11,253813,890181
70,AAPL,2011-04-12,301958,902908
71,AAPL,2011-04-13,289390,780235
72,AAPL,2011-04-14,346775,910494
73,AAPL,2011-04-15,522299,1193229
74,AAPL,2011-04-18,616787,1629227
75,AAPL,2011-04-19,435179,941380
76,AAPL,2011-04-20,585248,1411886
77,AAPL,2011-04-21,801333,1521296
78,AAPL,2011-04-25,295767,612588
79,AAPL,2011-04-26,334332,677472
80,AAPL,2011-04-27,434766,885638
81,AAPL,2011-04-28,459455,823442
82,AAPL,2011-04-29,680654,1399321
83,AAPL,2011-05-02,313422,1206553
84,AAPL,2011-05-03,337972,892072
85,AAPL,2011-05-04,364009,1035534
86,AAPL,2011-05-05,328522,946116
87,AAPL,2011-05-06,403864,832241
88,AAPL,2011-05-09,288260,579233
89,AAPL,2011-05-10,302772,720597
90,AAPL,2011-05-11,440395,971002
91,AAPL,2011-05-12,469529,892435
92,AAPL,2011-05-13,425622,935856
93,AAPL,2011-05-16,533974,1225661
94,AAPL,2011-05-17,382854,1247114
95,AAPL,2011-05-18,374723,871325
96,AAPL,2011-05-19,364043,728851
97,AAPL,2011-05-20,391012,796434
98,AAPL,2011-05-23,356114,934101
99,AAPL,2011-05-24,440111,919991
100,AAPL,2011-05-25,378359,824715
101,AAPL,2011-05-26,243624,575523
102,AAPL,2011-05-27,235954,491844
103,AAPL,2011-05-31,294601,801246
104,AAPL,2011-06-01,419827,1220076
105,AAPL,2011-06-02,329329,836265
106,AAPL,2011-06-03,380493,850754
107,AAPL,2011-06-06,625117,1175597
108,AAPL,2011-06-07,529758,1201478
109,AAPL,2011-06-08,285628,802038
110,AAPL,2011-06-09,260564,705857
111,AAPL,2011-06-10,381673,1011602
112,AAPL,2011-06-13,381313,840086
113,AAPL,2011-06-14,377128,715796
114,AAPL,2011-06-15,423407,953526
115,AAPL,2011-06-16,564461,1339375
116,AAPL,2011-06-17,457808,1231472
117,AAPL,2011-06-20,389116,1266623
118,AAPL,2011-06-21,548451,1254265
119,AAPL,2011-06-22,605250,1077700
120,AAPL,2011-06-23,751083,1452386
121,AAPL,2011-06-24,488032,989579
122,AAPL,2011-06-27,387606,804185
123,AAPL,2011-06-28,320777,641494
124,AAPL,2011-06-29,479998,975718
125,AAPL,2011-06-30,398920,850524
126,AAPL,2011-07-01,540541,1140899
127,AAPL,2011-07-05,474960,808811
128,AAPL,2011-07-06,531726,1082947
129,AAPL,2011-07-07,442840,1007001
130,AAPL,2011-07-08,535422,1237530
131,AAPL,2011-07-11,380663,1178836
132,AAPL,2011-07-12,397783,1014195
133,AAPL,2011-07-13,446182,1116481
134,AAPL,2011-07-14,591772,1297981
135,AAPL,2011-07-15,646864,1512226
136,AAPL,2011-07-18,483997,1531157
137,AAPL,2011-07-19,677134,1962601
138,AAPL,2011-07-20,1291761,2824049
139,AAPL,2011-07-21,635229,1302152
140,AAPL,2011-07-22,800199,1738315
141,AAPL,2011-07-25,806661,1550046
142,AAPL,2011-07-26,516275,1286394
143,AAPL,2011-07-27,634353,1867389
144,AAPL,2011-07-28,604377,1614589
145,AAPL,2011-07-29,606699,1721608
146,AAPL,2011-08-01,678966,1710221
147,AAPL,2011-08-02,668246,1895346
148,AAPL,2011-08-03,877718,2266127
149,AAPL,2011-08-04,981591,2934781
150,AAPL,2011-08-05,1207718,3364417
151,AAPL,2011-08-08,1200697,3045701
152,AAPL,2011-08-09,1007681,2653388
153,AAPL,2011-08-10,889691,2340375
154,AAPL,2011-08-11,800432,1904294
155,AAPL,2011-08-12,696602,1393134
156,AAPL,2011-08-15,711632,1426184
157,AAPL,2011-08-16,592240,1372197
158,AAPL,2011-08-17,477096,1034960
159,AAPL,2011-08-18,790401,2519163
160,AAPL,2011-08-19,857557,1921011
161,AAPL,2011-08-22,510736,1264880
162,AAPL,2011-08-23,564304,1535489
163,AAPL,2011-08-24,599857,1312349
164,AAPL,2011-08-25,991514,1885102
165,AAPL,2011-08-26,808226,1537019
166,AAPL,2011-08-29,513763,1003323
167,AAPL,2011-08-30,466713,893963
168,AAPL,2011-08-31,726828,1411201
169,AAPL,2011-09-01,397548,847211
170,AAPL,2011-09-02,549289,1217719
171,AAPL,2011-09-06,807923,1452749
