seqNo,ticker,txDate,shortVol,totVol
1,COST,2011-01-03,216032,449412
2,COST,2011-01-04,309960,573167
3,COST,2011-01-05,326039,563864
4,COST,2011-01-06,277173,412405
5,COST,2011-01-07,238270,384509
6,COST,2011-01-10,187843,276900
7,COST,2011-01-11,221129,304538
8,COST,2011-01-12,192155,262082
9,COST,2011-01-13,139737,218602
10,COST,2011-01-14,255550,313700
11,COST,2011-01-18,213342,265049
12,COST,2011-01-19,180796,248873
13,COST,2011-01-20,163714,302638
14,COST,2011-01-21,130231,216557
15,COST,2011-01-24,155995,246567
16,COST,2011-01-25,277567,393339
17,COST,2011-01-26,195787,266813
18,COST,2011-01-27,174875,301202
19,COST,2011-01-28,212425,335056
20,COST,2011-01-31,170393,270103
21,COST,2011-02-01,109061,255933
22,COST,2011-02-02,419102,629797
23,COST,2011-02-03,396280,535212
24,COST,2011-02-04,140064,211307
25,COST,2011-02-07,163796,230164
26,COST,2011-02-08,135080,225147
27,COST,2011-02-09,119118,210687
28,COST,2011-02-10,130002,241914
29,COST,2011-02-11,130890,276518
30,COST,2011-02-14,110649,175645
31,COST,2011-02-15,67558,145429
32,COST,2011-02-16,103082,185532
33,COST,2011-02-17,80686,159469
34,COST,2011-02-18,88960,164161
35,COST,2011-02-22,129789,242837
36,COST,2011-02-23,219245,383962
37,COST,2011-02-24,199486,296090
38,COST,2011-02-25,141845,217054
39,COST,2011-02-28,130042,214867
40,COST,2011-03-01,175573,349765
41,COST,2011-03-02,262756,485767
42,COST,2011-03-03,126697,229750
43,COST,2011-03-04,211170,331621
44,COST,2011-03-07,266386,376414
45,COST,2011-03-08,328448,453579
46,COST,2011-03-09,231148,312844
47,COST,2011-03-10,195269,326563
48,COST,2011-03-11,179312,386969
49,COST,2011-03-14,230510,331500
50,COST,2011-03-15,196958,352408
51,COST,2011-03-16,172260,449693
52,COST,2011-03-17,75110,179770
53,COST,2011-03-18,90900,207404
54,COST,2011-03-21,110880,197008
55,COST,2011-03-22,61252,100765
56,COST,2011-03-23,110715,163506
57,COST,2011-03-24,68291,140828
58,COST,2011-03-25,54143,116348
59,COST,2011-03-28,30051,84891
60,COST,2011-03-29,28136,67501
61,COST,2011-03-30,56501,121869
62,COST,2011-03-31,84137,132019
63,COST,2011-04-01,125808,193375
64,COST,2011-04-04,66625,97903
65,COST,2011-04-05,201645,303093
66,COST,2011-04-06,70309,122870
67,COST,2011-04-07,300346,409643
68,COST,2011-04-08,126309,198837
69,COST,2011-04-11,92658,216827
70,COST,2011-04-12,88255,167000
71,COST,2011-04-13,42378,104905
72,COST,2011-04-14,76713,141058
73,COST,2011-04-15,61078,114231
74,COST,2011-04-18,132198,171607
75,COST,2011-04-19,60294,119858
76,COST,2011-04-20,134425,199753
77,COST,2011-04-21,123644,158161
78,COST,2011-04-25,82910,140848
79,COST,2011-04-26,139482,230956
80,COST,2011-04-27,108911,230212
81,COST,2011-04-28,101258,191873
82,COST,2011-04-29,134903,250751
83,COST,2011-05-02,85720,166548
84,COST,2011-05-03,148343,263239
85,COST,2011-05-04,111760,207676
86,COST,2011-05-05,143706,398748
87,COST,2011-05-06,74485,219422
88,COST,2011-05-09,92431,161608
89,COST,2011-05-10,106148,170949
90,COST,2011-05-11,66847,125231
91,COST,2011-05-12,93958,190933
92,COST,2011-05-13,72069,127651
93,COST,2011-05-16,120296,225766
94,COST,2011-05-17,74423,117131
95,COST,2011-05-18,64579,102263
96,COST,2011-05-19,69397,101973
97,COST,2011-05-20,133610,189408
98,COST,2011-05-23,105033,186649
99,COST,2011-05-24,138293,245683
