seqNo,ticker,txDate,shortVol,totVol
1,MA,2011-01-03,26429,101493
2,MA,2011-01-04,24547,66430
3,MA,2011-01-05,172078,323088
4,MA,2011-01-06,140962,302113
5,MA,2011-01-07,73486,197340
6,MA,2011-01-10,33700,89670
7,MA,2011-01-11,23618,61285
8,MA,2011-01-12,21117,40855
9,MA,2011-01-13,19362,36393
10,MA,2011-01-14,40577,70509
11,MA,2011-01-18,19861,40656
12,MA,2011-01-19,26093,58687
13,MA,2011-01-20,61463,174392
14,MA,2011-01-21,23666,48429
15,MA,2011-01-24,20453,43046
16,MA,2011-01-25,29433,68519
17,MA,2011-01-26,29432,53638
18,MA,2011-01-27,15206,32758
19,MA,2011-01-28,19906,42695
20,MA,2011-01-31,11295,38186
21,MA,2011-02-01,21657,64100
22,MA,2011-02-02,22977,67865
23,MA,2011-02-03,28620,103116
24,MA,2011-02-04,16836,58075
25,MA,2011-02-07,18290,35839
26,MA,2011-02-08,19474,40821
27,MA,2011-02-09,14204,36108
28,MA,2011-02-10,21428,51429
29,MA,2011-02-11,23628,40703
30,MA,2011-02-14,31790,74629
31,MA,2011-02-15,33426,59322
32,MA,2011-02-16,26269,59974
33,MA,2011-02-17,32520,99466
34,MA,2011-02-18,17965,74759
35,MA,2011-02-22,19780,47497
36,MA,2011-02-23,20405,43285
37,MA,2011-02-24,31952,69596
38,MA,2011-02-25,21346,60657
39,MA,2011-02-28,22555,86163
40,MA,2011-03-01,38106,130522
41,MA,2011-03-02,24287,53449
42,MA,2011-03-03,30824,102822
43,MA,2011-03-04,24547,73205
44,MA,2011-03-07,25511,72627
45,MA,2011-03-08,16332,49020
46,MA,2011-03-09,18870,43025
47,MA,2011-03-10,29920,62377
48,MA,2011-03-11,17046,36363
49,MA,2011-03-14,31722,64926
50,MA,2011-03-15,23837,69403
51,MA,2011-03-16,34232,59207
52,MA,2011-03-17,14482,42082
53,MA,2011-03-18,18458,66490
54,MA,2011-03-21,18620,38671
55,MA,2011-03-22,26784,91564
56,MA,2011-03-23,10971,37936
57,MA,2011-03-24,23981,50581
58,MA,2011-03-25,10805,49180
59,MA,2011-03-28,28392,62798
60,MA,2011-03-29,11505,49572
61,MA,2011-03-30,64520,129596
62,MA,2011-03-31,18742,56263
63,MA,2011-04-01,19710,51584
64,MA,2011-04-04,28921,83503
65,MA,2011-04-05,44523,88834
66,MA,2011-04-06,41385,74568
67,MA,2011-04-07,28142,56282
68,MA,2011-04-08,29615,67866
69,MA,2011-04-11,31954,67932
70,MA,2011-04-12,23737,61690
71,MA,2011-04-13,62105,111426
72,MA,2011-04-14,25366,38672
73,MA,2011-04-15,33558,74946
74,MA,2011-04-18,18419,36905
75,MA,2011-04-19,21312,29512
76,MA,2011-04-20,18727,52349
77,MA,2011-04-21,18505,54672
78,MA,2011-04-25,12284,24877
79,MA,2011-04-26,22261,46340
80,MA,2011-04-27,14423,30382
81,MA,2011-04-28,15564,25364
82,MA,2011-04-29,12661,37567
83,MA,2011-05-02,16023,42932
84,MA,2011-05-03,34442,74140
85,MA,2011-05-04,35781,69426
86,MA,2011-05-05,18782,55755
87,MA,2011-05-06,17039,41841
88,MA,2011-05-09,23975,46618
89,MA,2011-05-10,16788,41092
90,MA,2011-05-11,32756,50883
91,MA,2011-05-12,19435,38997
92,MA,2011-05-13,12153,23298
93,MA,2011-05-16,12828,35783
94,MA,2011-05-17,31806,72990
95,MA,2011-05-18,26589,57438
96,MA,2011-05-19,25013,45185
97,MA,2011-05-20,20334,52235
98,MA,2011-05-23,24718,51157
99,MA,2011-05-24,8480,33126
100,MA,2011-05-25,22339,55743
101,MA,2011-05-26,46238,76167
102,MA,2011-05-27,53337,96726
103,MA,2011-05-31,16456,44690
104,MA,2011-06-01,22103,80988
105,MA,2011-06-02,28647,63913
106,MA,2011-06-03,13432,45859
107,MA,2011-06-06,15247,56481
108,MA,2011-06-07,25795,64035
109,MA,2011-06-08,65914,134949
110,MA,2011-06-09,30005,50856
111,MA,2011-06-10,26526,54017
112,MA,2011-06-13,19395,38726
113,MA,2011-06-14,27700,40755
114,MA,2011-06-15,43237,64352
115,MA,2011-06-16,27129,57253
116,MA,2011-06-17,24891,68449
117,MA,2011-06-20,14815,26908
118,MA,2011-06-21,17948,36718
119,MA,2011-06-22,14762,27233
120,MA,2011-06-23,10595,37552
121,MA,2011-06-24,46300,79282
122,MA,2011-06-27,26035,53500
123,MA,2011-06-28,21128,41871
124,MA,2011-06-29,158040,269342
125,MA,2011-06-30,78130,206158
126,MA,2011-07-01,64518,138316
127,MA,2011-07-05,22418,56360
128,MA,2011-07-06,27876,64329
129,MA,2011-07-07,47242,128350
130,MA,2011-07-08,21037,75490
131,MA,2011-07-11,19793,66123
132,MA,2011-07-12,49139,109436
133,MA,2011-07-13,24088,77423
134,MA,2011-07-14,10931,25631
135,MA,2011-07-15,24498,53900
136,MA,2011-07-18,45140,71138
137,MA,2011-07-19,29659,59222
138,MA,2011-07-20,17295,37508
139,MA,2011-07-21,14900,39542
140,MA,2011-07-22,12904,39170
141,MA,2011-07-25,18188,34483
142,MA,2011-07-26,13690,30501
143,MA,2011-07-27,17781,62413
144,MA,2011-07-28,23881,70200
145,MA,2011-07-29,22637,70841
146,MA,2011-08-01,29595,49231
147,MA,2011-08-02,37131,88547
148,MA,2011-08-03,168873,347503
149,MA,2011-08-04,84854,190840
150,MA,2011-08-05,70709,174024
151,MA,2011-08-08,72941,191187
152,MA,2011-08-09,74731,192003
153,MA,2011-08-10,79709,159513
154,MA,2011-08-11,69169,177792
155,MA,2011-08-12,43858,98817
156,MA,2011-08-15,48511,110105
157,MA,2011-08-16,56459,103849
158,MA,2011-08-17,37731,96289
159,MA,2011-08-18,60130,155046
160,MA,2011-08-19,50418,120322
161,MA,2011-08-22,32368,58717
162,MA,2011-08-23,33572,67410
163,MA,2011-08-24,41490,70170
164,MA,2011-08-25,39809,63184
165,MA,2011-08-26,25421,67022
166,MA,2011-08-29,33819,97589
167,MA,2011-08-30,32016,82790
168,MA,2011-08-31,46019,81017
169,MA,2011-09-01,31813,58869
170,MA,2011-09-02,26235,50196
171,MA,2011-09-06,40458,78629
172,MA,2011-09-07,41578,82422
173,MA,2011-09-08,62593,116725
174,MA,2011-09-09,51589,98888
175,MA,2011-09-12,32316,102666
176,MA,2011-09-13,27532,62552
177,MA,2011-09-14,70315,117194
178,MA,2011-09-15,108043,164962
179,MA,2011-09-16,100202,185654
180,MA,2011-09-19,58020,103547
181,MA,2011-09-20,78274,164118
182,MA,2011-09-21,50718,120694
183,MA,2011-09-22,77028,171225
184,MA,2011-09-23,72752,146584
185,MA,2011-09-26,98348,143883
186,MA,2011-09-27,43266,98617
187,MA,2011-09-28,40333,89180
188,MA,2011-09-29,46255,81459
189,MA,2011-09-30,59498,135122
190,MA,2011-10-03,77266,142327
191,MA,2011-10-04,89980,280225
192,MA,2011-10-05,52662,112011
193,MA,2011-10-06,59557,114196
194,MA,2011-10-07,64100,121311
195,MA,2011-10-10,34923,75604
196,MA,2011-10-11,55624,93116
197,MA,2011-10-12,73866,158665
198,MA,2011-10-13,75428,119193
199,MA,2011-10-14,53330,97093
200,MA,2011-10-17,53363,83022
201,MA,2011-10-18,60827,104511
202,MA,2011-10-19,67336,142011
203,MA,2011-10-20,36497,127898
204,MA,2011-10-21,29693,65263
205,MA,2011-10-24,26278,56064
206,MA,2011-10-25,25646,54436
207,MA,2011-10-26,26737,67345
208,MA,2011-10-27,58868,111867
209,MA,2011-10-28,32451,61482
210,MA,2011-10-31,27127,59652
211,MA,2011-11-01,41219,82056
212,MA,2011-11-02,91168,214758
213,MA,2011-11-03,48610,85713
214,MA,2011-11-04,27913,57091
215,MA,2011-11-07,17153,49460
216,MA,2011-11-08,25948,66700
217,MA,2011-11-09,38760,75265
218,MA,2011-11-10,21320,41199
219,MA,2011-11-11,42291,82416
220,MA,2011-11-14,21919,40074
221,MA,2011-11-15,23433,44363
222,MA,2011-11-16,24420,51761
223,MA,2011-11-17,38076,76533
224,MA,2011-11-18,26247,62947
225,MA,2011-11-21,26090,68084
226,MA,2011-11-22,20853,43834
227,MA,2011-11-23,23947,55548
228,MA,2011-11-25,6792,16855
229,MA,2011-11-28,25940,65205
230,MA,2011-11-29,30029,75895
231,MA,2011-11-30,35912,66025
232,MA,2011-12-01,36102,79262
233,MA,2011-12-02,33320,56384
234,MA,2011-12-05,33935,70277
235,MA,2011-12-06,22983,41431
236,MA,2011-12-07,20991,42012
