seqNo,ticker,txDate,shortVol,totVol
1,V,2011-01-03,130585,294059
2,V,2011-01-04,93851,211282
3,V,2011-01-05,189484,426164
4,V,2011-01-06,193467,385184
5,V,2011-01-07,200421,332248
6,V,2011-01-10,100278,179410
7,V,2011-01-11,122911,286912
8,V,2011-01-12,68270,183755
9,V,2011-01-13,113771,311517
10,V,2011-01-14,145817,241073
11,V,2011-01-18,92996,227219
12,V,2011-01-19,267817,626353
13,V,2011-01-20,404937,996879
14,V,2011-01-21,171307,380273
15,V,2011-01-24,142048,323321
16,V,2011-01-25,218627,488903
17,V,2011-01-26,94018,189525
18,V,2011-01-27,74620,176759
19,V,2011-01-28,134870,317760
20,V,2011-01-31,118532,325895
21,V,2011-02-01,182254,445516
22,V,2011-02-02,169060,364631
23,V,2011-02-03,151051,372629
24,V,2011-02-04,223658,445851
25,V,2011-02-07,107585,297243
26,V,2011-02-08,95125,252088
27,V,2011-02-09,87711,297742
28,V,2011-02-10,115197,293997
29,V,2011-02-11,120574,227379
30,V,2011-02-14,201678,448605
31,V,2011-02-15,117535,205268
32,V,2011-02-16,196331,390346
33,V,2011-02-17,133772,263636
34,V,2011-02-18,146688,396282
35,V,2011-02-22,100647,304881
36,V,2011-02-23,95811,272015
37,V,2011-02-24,102653,231125
38,V,2011-02-25,110138,255937
39,V,2011-02-28,76236,244206
40,V,2011-03-01,147740,407827
41,V,2011-03-02,92254,216150
42,V,2011-03-03,124080,245241
43,V,2011-03-04,124217,224413
44,V,2011-03-07,78117,188529
45,V,2011-03-08,152628,496678
46,V,2011-03-09,100084,236958
47,V,2011-03-10,160575,385925
48,V,2011-03-11,96918,300258
49,V,2011-03-14,91539,219559
50,V,2011-03-15,113720,325387
51,V,2011-03-16,167960,439185
52,V,2011-03-17,65226,178355
53,V,2011-03-18,118054,307544
54,V,2011-03-21,82624,230443
55,V,2011-03-22,63374,197571
56,V,2011-03-23,48033,141824
57,V,2011-03-24,57428,196015
58,V,2011-03-25,178931,506288
59,V,2011-03-28,77433,340457
60,V,2011-03-29,86934,332037
61,V,2011-03-30,286497,820008
62,V,2011-03-31,91307,224305
63,V,2011-04-01,84442,279316
64,V,2011-04-04,80927,177532
65,V,2011-04-05,142994,303730
66,V,2011-04-06,105368,262980
67,V,2011-04-07,117259,271764
68,V,2011-04-08,150098,300596
69,V,2011-04-11,130730,301888
70,V,2011-04-12,107488,226312
71,V,2011-04-13,112968,240696
72,V,2011-04-14,92095,249947
73,V,2011-04-15,115733,262470
74,V,2011-04-18,79617,156319
75,V,2011-04-19,58004,138270
76,V,2011-04-20,81114,187331
77,V,2011-04-21,63693,130826
78,V,2011-04-25,39193,76411
79,V,2011-04-26,81132,140847
80,V,2011-04-27,35920,90507
81,V,2011-04-28,26725,148088
82,V,2011-04-29,112428,235529
83,V,2011-05-02,80172,186681
84,V,2011-05-03,124285,233717
85,V,2011-05-04,105527,217854
86,V,2011-05-05,106598,234671
87,V,2011-05-06,212367,487484
88,V,2011-05-09,114908,282151
89,V,2011-05-10,105066,281772
90,V,2011-05-11,117120,206097
91,V,2011-05-12,89075,197388
92,V,2011-05-13,134769,299871
93,V,2011-05-16,108403,236515
