seqNo,ticker,date,open,high,low,close,ex_dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
1,MA,2014-12-31,87.18,87.54,86.16,86.16,0.0,1.0,85.24,85.59,84.24,84.24,2861699
2,MA,2014-12-30,87.35,87.75,86.51,86.97,0.0,1.0,85.4,85.8,84.58,85.03,2493320
3,MA,2014-12-29,87.64,88.49,87.5,87.68,0.0,1.0,85.69,86.52,85.55,85.73,2376172
4,MA,2014-12-26,87.9,88.07,87.52,87.77,0.0,1.0,85.94,86.11,85.57,85.82,1508390
5,MA,2014-12-24,87.7,88.3,87.53,87.77,0.0,1.0,85.75,86.33,85.58,85.82,1220002
6,MA,2014-12-23,87.46,87.85,86.75,87.63,0.0,1.0,85.51,85.89,84.82,85.68,2750285
7,MA,2014-12-22,86.75,86.97,86.21,86.83,0.0,1.0,84.82,85.03,84.29,84.9,2561646
8,MA,2014-12-19,86.98,87.29,86.14,86.44,0.0,1.0,85.04,85.35,84.22,84.52,6261959
9,MA,2014-12-18,86.12,86.92,85.4,86.92,0.0,1.0,84.2,84.98,83.5,84.98,6441859
10,MA,2014-12-17,82.79,84.87,82.4,84.73,0.0,1.0,80.95,82.98,80.57,82.84,6443747
11,MA,2014-12-16,83.72,84.97,82.05,82.64,0.0,1.0,81.86,83.08,80.22,80.8,6970168
12,MA,2014-12-15,85.14,85.29,83.54,84.61,0.0,1.0,83.24,83.39,81.68,82.73,4922381
13,MA,2014-12-12,86.57,87.32,84.11,84.13,0.0,1.0,84.64,85.38,82.24,82.26,6646104
14,MA,2014-12-11,86.76,88.18,86.75,87.69,0.0,1.0,84.83,86.22,84.82,85.74,4078365
15,MA,2014-12-10,87.53,88.03,86.21,86.33,0.0,1.0,85.58,86.07,84.29,84.41,3284872
16,MA,2014-12-09,86.57,88.04,86.4,87.84,0.0,1.0,84.64,86.08,84.48,85.88,3741436
17,MA,2014-12-08,89.04,89.56,87.88,88.04,0.0,1.0,87.06,87.56,85.92,86.08,4473905
18,MA,2014-12-05,89.87,89.87,88.85,89.08,0.0,1.0,87.87,87.87,86.87,87.1,3739922
19,MA,2014-12-04,88.38,89.44,88.14,88.77,0.0,1.0,86.41,87.45,86.18,86.79,3528011
20,MA,2014-12-03,88.21,89.24,87.68,88.32,0.0,1.0,86.25,87.25,85.73,86.35,6086291
21,MA,2014-12-02,87.91,87.95,86.54,87.69,0.0,1.0,85.95,85.99,84.61,85.74,5458315
22,MA,2014-12-01,86.56,88.16,86.35,87.46,0.0,1.0,84.63,86.2,84.43,85.51,4989800
23,MA,2014-11-28,87.0,87.89,86.68,87.29,0.0,1.0,85.06,85.93,84.75,85.35,2452793
24,MA,2014-11-26,86.26,86.9,85.96,86.56,0.0,1.0,84.34,84.96,84.05,84.63,3328218
25,MA,2014-11-25,85.1,86.74,85.08,86.34,0.0,1.0,83.2,84.81,83.18,84.42,5623367
26,MA,2014-11-24,84.82,85.19,84.65,84.99,0.0,1.0,82.93,83.29,82.76,83.1,3926719
27,MA,2014-11-21,85.74,85.88,84.21,84.72,0.0,1.0,83.83,83.96,82.33,82.83,4969098
28,MA,2014-11-20,83.5,84.85,83.29,84.6,0.0,1.0,81.64,82.96,81.43,82.72,3452204
29,MA,2014-11-19,83.7,84.49,83.41,84.28,0.0,1.0,81.84,82.61,81.55,82.4,2500987
30,MA,2014-11-18,83.25,84.24,83.18,83.9,0.0,1.0,81.4,82.36,81.33,82.03,3142917
31,MA,2014-11-17,83.8,84.26,83.17,83.2,0.0,1.0,81.93,82.38,81.32,81.35,3368412
32,MA,2014-11-14,84.32,84.34,83.64,84.05,0.0,1.0,82.44,82.46,81.78,82.18,2224064
33,MA,2014-11-13,84.54,84.74,83.74,84.2,0.0,1.0,82.66,82.85,81.88,82.32,3096547
34,MA,2014-11-12,83.76,84.68,83.33,84.35,0.0,1.0,81.89,82.79,81.47,82.47,3121078
35,MA,2014-11-11,84.98,85.12,84.25,84.59,0.0,1.0,83.09,83.22,82.37,82.71,2679887
36,MA,2014-11-10,84.72,85.11,84.21,84.85,0.0,1.0,82.83,83.21,82.33,82.96,4525125
37,MA,2014-11-07,85.94,85.94,84.59,84.8,0.0,1.0,84.03,84.03,82.71,82.91,4925988
38,MA,2014-11-06,86.0,86.38,85.49,85.75,0.0,1.0,84.08,84.46,83.59,83.84,5147915
39,MA,2014-11-05,84.5,86.4,84.38,85.99,0.0,1.0,82.62,84.48,82.5,84.08,7997267
40,MA,2014-11-04,83.86,84.21,82.7,83.99,0.0,1.0,81.99,82.33,80.86,82.12,5977170
41,MA,2014-11-03,83.82,84.34,83.82,84.13,0.0,1.0,81.95,82.47,81.95,82.26,6661323
42,MA,2014-10-31,83.21,84.83,83.2,83.75,0.0,1.0,81.36,82.94,81.35,81.88,11664880
43,MA,2014-10-30,78.35,83.22,78.3,83.13,0.0,1.0,76.61,81.37,76.56,81.28,16288278
44,MA,2014-10-29,76.19,76.97,75.58,75.99,0.0,1.0,74.49,75.26,73.9,74.3,6213468
45,MA,2014-10-28,74.54,76.01,74.47,76.0,0.0,1.0,72.88,74.32,72.81,74.31,4998990
46,MA,2014-10-27,74.0,74.53,73.76,74.11,0.0,1.0,72.35,72.87,72.12,72.46,3407745
47,MA,2014-10-24,73.84,74.08,73.39,74.0,0.0,1.0,72.2,72.43,71.76,72.35,3374394
48,MA,2014-10-23,74.1,74.66,73.77,74.09,0.0,1.0,72.45,73.0,72.13,72.44,3604101
49,MA,2014-10-22,74.11,74.36,73.18,73.22,0.0,1.0,72.46,72.7,71.55,71.59,4155495
50,MA,2014-10-21,72.87,74.28,72.55,74.16,0.0,1.0,71.25,72.63,70.93,72.51,4556389
51,MA,2014-10-20,71.21,72.06,71.14,72.04,0.0,1.0,69.62,70.45,69.56,70.44,3281644
52,MA,2014-10-17,71.7,72.16,70.86,71.56,0.0,1.0,70.1,70.55,69.28,69.97,5888523
53,MA,2014-10-16,70.08,71.49,69.85,70.86,0.0,1.0,68.52,69.9,68.29,69.28,9417977
54,MA,2014-10-15,69.96,71.73,69.66,71.3,0.0,1.0,68.4,70.13,68.11,69.71,11601993
55,MA,2014-10-14,70.04,71.67,70.0,71.0,0.0,1.0,68.48,70.07,68.44,69.42,8181181
56,MA,2014-10-13,70.59,71.21,69.64,69.78,0.0,1.0,69.02,69.62,68.09,68.23,6041692
57,MA,2014-10-10,71.8,72.3,70.5,70.5,0.0,1.0,70.2,70.69,68.93,68.93,5981724
58,MA,2014-10-09,73.98,73.98,71.81,71.83,0.0,1.0,72.33,72.34,70.21,70.23,5791137
59,MA,2014-10-08,72.75,74.07,72.48,74.06,0.0,1.0,71.13,72.42,70.87,72.41,4120848
60,MA,2014-10-07,74.1,74.32,72.94,72.94,0.11,1.0,72.45,72.66,71.32,71.32,5842069
61,MA,2014-10-06,74.62,74.78,74.39,74.51,0.0,1.0,72.85,73.0,72.62,72.74,4787701
62,MA,2014-10-03,74.05,74.63,73.9,74.33,0.0,1.0,72.29,72.86,72.15,72.57,5343340
63,MA,2014-10-02,72.87,73.73,72.59,73.42,0.0,1.0,71.14,71.98,70.87,71.68,5607133
64,MA,2014-10-01,73.82,74.18,73.07,73.32,0.0,1.0,72.07,72.42,71.34,71.58,6624918
65,MA,2014-09-30,74.47,75.31,73.92,73.92,0.0,1.0,72.7,73.52,72.17,72.17,9354808
66,MA,2014-09-29,74.15,74.89,73.79,74.52,0.0,1.0,72.39,73.11,72.04,72.75,3905908
67,MA,2014-09-26,74.75,75.17,74.5,75.06,0.0,1.0,72.98,73.39,72.73,73.28,3767631
68,MA,2014-09-25,76.54,76.64,74.72,74.72,0.0,1.0,74.72,74.82,72.95,72.95,4976193
69,MA,2014-09-24,75.7,77.05,75.55,77.05,0.0,1.0,73.9,75.22,73.76,75.22,3617404
70,MA,2014-09-23,75.98,76.25,75.5,75.51,0.0,1.0,74.18,74.44,73.71,73.72,3907733
71,MA,2014-09-22,77.26,77.36,76.08,76.16,0.0,1.0,75.43,75.52,74.27,74.35,3390566
72,MA,2014-09-19,77.94,78.37,77.24,77.28,0.0,1.0,76.09,76.51,75.41,75.45,8492600
73,MA,2014-09-18,76.64,77.81,76.23,77.8,0.0,1.0,74.82,75.96,74.42,75.95,5782900
74,MA,2014-09-17,76.88,76.9,75.47,76.22,0.0,1.0,75.05,75.07,73.68,74.41,5549400
75,MA,2014-09-16,75.65,76.8,74.94,76.59,0.0,1.0,73.85,74.98,73.16,74.77,4870400
76,MA,2014-09-15,75.19,75.42,74.78,75.24,0.0,1.0,73.4,73.63,73.0,73.45,4046800
77,MA,2014-09-12,75.68,76.07,74.93,75.47,0.0,1.0,73.88,74.26,73.15,73.68,4239500
78,MA,2014-09-11,76.32,76.45,75.41,75.62,0.0,1.0,74.51,74.63,73.62,73.82,4673100
79,MA,2014-09-10,76.09,76.93,75.88,76.65,0.0,1.0,74.28,75.1,74.08,74.83,4188000
80,MA,2014-09-09,76.26,76.51,75.69,76.07,0.0,1.0,74.45,74.69,73.89,74.26,4144700
81,MA,2014-09-08,76.59,76.85,75.9,76.23,0.0,1.0,74.77,75.03,74.1,74.42,2845600
82,MA,2014-09-05,76.19,76.93,75.86,76.86,0.0,1.0,74.38,75.1,74.06,75.04,3487400
83,MA,2014-09-04,76.03,76.82,76.0,76.38,0.0,1.0,74.22,75.0,74.2,74.57,2680300
84,MA,2014-09-03,76.1,76.19,75.73,75.94,0.0,1.0,74.29,74.38,73.93,74.14,2870200
85,MA,2014-09-02,75.93,76.01,75.44,75.58,0.0,1.0,74.13,74.21,73.65,73.79,3613200
86,MA,2014-08-29,76.3,76.48,75.73,75.81,0.0,1.0,74.49,74.66,73.93,74.01,3231600
87,MA,2014-08-28,76.09,76.43,75.66,76.16,0.0,1.0,74.28,74.62,73.86,74.35,2991600
88,MA,2014-08-27,77.02,77.12,76.5,76.64,0.0,1.0,75.19,75.29,74.68,74.82,1980800
89,MA,2014-08-26,76.79,77.85,76.54,77.0,0.0,1.0,74.97,76.0,74.72,75.17,3849000
90,MA,2014-08-25,76.1,76.19,75.73,75.94,0.0,1.0,74.29,74.38,73.93,74.14,3386300
91,MA,2014-08-22,76.75,76.88,76.15,76.48,0.0,1.0,74.93,75.05,74.34,74.66,2500700
92,MA,2014-08-21,76.51,77.12,76.29,76.99,0.0,1.0,74.69,75.29,74.48,75.16,2690000
93,MA,2014-08-20,75.97,76.48,75.9,76.39,0.0,1.0,74.17,74.66,74.1,74.58,2608200
94,MA,2014-08-19,76.75,76.8,76.09,76.4,0.0,1.0,74.93,74.98,74.28,74.59,3562200
95,MA,2014-08-18,75.69,76.82,75.69,76.77,0.0,1.0,73.89,75.0,73.89,74.95,4030300
96,MA,2014-08-15,76.41,76.57,74.98,75.21,0.0,1.0,74.6,74.75,73.2,73.42,4351900
97,MA,2014-08-14,76.6,76.61,75.66,76.05,0.0,1.0,74.78,74.79,73.86,74.24,2411400
98,MA,2014-08-13,75.85,76.51,75.59,76.3,0.0,1.0,74.05,74.69,73.8,74.49,3389600
99,MA,2014-08-12,75.36,75.82,74.93,75.63,0.0,1.0,73.57,74.02,73.15,73.83,2752400
100,MA,2014-08-11,75.54,76.07,74.99,75.63,0.0,1.0,73.75,74.26,73.21,73.83,3546600
101,MA,2014-08-08,74.0,75.23,73.75,75.17,0.0,1.0,72.24,73.44,72.0,73.39,3614300
102,MA,2014-08-07,75.54,75.68,73.82,74.06,0.0,1.0,73.75,73.88,72.07,72.3,4708000
103,MA,2014-08-06,74.85,75.58,74.69,75.36,0.0,1.0,73.07,73.79,72.92,73.57,2782900
